commune,nom_rue,gestionaire,id_cycle,id_tronc,cumuld,cumulf,etat_revet,circulation,sdc_catego,type_renov,type_revet,typo_piste,largeur_am,note_globale,note_classe,vlm_indice,vlm_classe,deformation,note_arrachement,note_bordure_endommagee,note_deformation,note_faiencage,note_fissure_avec_deformation,note_fissure_longitudinale,note_fissure_longitudinale_grave,note_fissure_transversale,note_fissure_transversale_grave,note_joint,note_joint_avec_deformation,note_nid_de_poule
MONTIGNY-LE-BRETONNEUX,,SQY - SEVOA,CYCL_1475,CYCL_1475_1,0,41,BON,UNIDIRECTIONNELLE,,,Enrobé,PISTE UNIDIRECTIONNELLE,1.5,10.0,Bon,6.0,Moyen,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
MONTIGNY-LE-BRETONNEUX,,SQY - SEVOA,CYCL_1491,CYCL_1491_1,0,32,BON,BIDIRECTIONNELLE,STRUCTURANT,,Enrobé,PISTE BIDIRECTIONNELLE,3.0,9.0,Bon,9.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0
MONTIGNY-LE-BRETONNEUX,,SQY - SEVOA,CYCL_1545,CYCL_1545_1,0,18,,BIDIRECTIONNELLE,STRUCTURANT,,Enrobé,VOIE VERTE BIDIRECTIONNELLE,0.0,,,,,False,,,,,,,,,,,,
MONTIGNY-LE-BRETONNEUX,VAUBAN (BOULEVARD),SQY - SEVOA,CYCL_1550,CYCL_1550_1,0,28,BON,UNIDIRECTIONNELLE,SECONDAIRE,,Asphalte,PISTE UNIDIRECTIONNELLE,1.5,10.0,Bon,6.0,Moyen,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
MONTIGNY-LE-BRETONNEUX,PAS DU LAC (AVENUE DU),SQY - SEVOA,CYCL_1553,CYCL_1553_1,0,87,BON,BIDIRECTIONNELLE,STRUCTURANT,,Asphalte,PISTE BIDIRECTIONNELLE,3.0,10.0,Bon,9.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
MONTIGNY-LE-BRETONNEUX,PRES (AVENUE DES),SQY - SEVOA,CYCL_1556,CYCL_1556_1,0,84,BON,UNIDIRECTIONNELLE,STRUCTURANT,,Enrobé,PISTE UNIDIRECTIONNELLE,1.5,10.0,Bon,10.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
MONTIGNY-LE-BRETONNEUX,TRAPPES (ROUTE DE),SQY - SEVOA,CYCL_1559,CYCL_1559_1,0,61,BON,BIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE BIDIRECTIONNELLE,4.0,10.0,Bon,10.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
MONTIGNY-LE-BRETONNEUX,AVENUE DE KIERSPE - D36,SQY - SEVOA,CYCL_1560,CYCL_1560_1,0,100,BON,BIDIRECTIONNELLE,STRUCTURANT,,Enrobé,VOIE VERTE BIDIRECTIONNELLE,2.5,10.0,Bon,10.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
MONTIGNY-LE-BRETONNEUX,AVENUE DE KIERSPE - D36,SQY - SEVOA,CYCL_1560,CYCL_1560_1,100,194,BON,BIDIRECTIONNELLE,STRUCTURANT,,Enrobé,VOIE VERTE BIDIRECTIONNELLE,2.5,10.0,Bon,10.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
PLAISIR,ROUTE DES DEUX PLATEAUX - D30,SQY - SEVOA,CYCL_1562,CYCL_1562_1,0,54,,BIDIRECTIONNELLE,STRUCTURANT,,Non renseigné,VOIE VERTE BIDIRECTIONNELLE,0.0,7.0,Moyen,6.0,Moyen,True,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0
